id_pozo,fecha,profundidad_nivel_m,precipitacion_mm,conductividad_uScm
P01,2025-01-01,6.62,57.58,1030.14
P01,2025-02-01,7.66,52.49,945.05
P01,2025-03-01,8.08,64.82,1005.78
P01,2025-04-01,8.39,65.79,1043.72
P01,2025-05-01,9.6,53.27,1038.23
P01,2025-06-01,,30.69,971.84
P01,2025-07-01,10.09,15.52,1012.28
P01,2025-08-01,8.49,24.23,1002.49
P01,2025-09-01,7.74,12.5,1028.15
P01,2025-10-01,7.32,31.13,1020.62
P01,2025-11-01,7.73,37.94,981.03
P01,2025-12-01,5.71,63.16,1040.79
P02,2025-01-01,6.37,59.58,957.51
P02,2025-02-01,7.49,79.43,1026.87
P02,2025-03-01,7.6,70.3,1008.46
P02,2025-04-01,9.03,65.71,1023.28
P02,2025-05-01,9.97,42.68,1032.77
P02,2025-06-01,10.18,12.43,1006.87
P02,2025-07-01,9.28,9.63,1002.55
P02,2025-08-01,9.8,3.34,1062.15
P02,2025-09-01,6.99,12.67,1006.26
P02,2025-10-01,7.45,34.11,1037.86
P02,2025-11-01,6.23,37.38,1032.23
P02,2025-12-01,6.09,44.24,941.6
P03,2025-01-01,5.89,72.95,997.64
P03,2025-02-01,7.51,67.73,1009.73
P03,2025-03-01,8.38,64.89,1029.18
P03,2025-04-01,8.5,53.37,992.34
P03,2025-05-01,8.84,46.87,990.77
P03,2025-06-01,9.81,31.81,1038.75
P03,2025-07-01,9.96,15.03,9500.0
P03,2025-08-01,8.85,0.0,946.85
P03,2025-09-01,7.21,6.05,1018.43
P03,2025-10-01,6.56,23.22,1054.36
P03,2025-11-01,6.23,49.38,951.58
P03,2025-12-01,6.08,47.5,977.28
P04,2025-01-01,20.95,50.71,786.17
P04,2025-02-01,21.24,66.06,703.63
P04,2025-03-01,22.04,62.69,784.77
P04,2025-04-01,22.91,73.02,769.62
P04,2025-05-01,22.94,43.79,790.51
P04,2025-06-01,24.62,35.35,808.37
P04,2025-07-01,24.44,4.13,762.27
P04,2025-08-01,22.34,8.1,714.46
P04,2025-09-01,22.38,-12.0,710.48
P04,2025-10-01,20.49,30.14,801.15
P04,2025-11-01,21.64,71.14,790.12
P04,2025-12-01,19.61,35.68,769.29
P05,2025-01-01,19.95,63.83,732.13
P05,2025-02-01,21.02,82.66,774.18
P05,2025-03-01,21.9,57.62,697.97
P05,2025-04-01,22.61,56.46,857.81
P05,2025-05-01,23.64,51.83,762.99
P05,2025-06-01,23.09,17.35,748.99
P05,2025-07-01,24.84,7.81,831.58
P05,2025-08-01,22.36,21.32,793.83
P05,2025-09-01,21.91,15.61,743.88
P05,2025-10-01,21.37,22.45,714.42
P05,2025-11-01,19.67,43.73,828.78
P05,2025-12-01,20.3,55.81,774.93
P06,2025-01-01,21.22,70.17,750.08
P06,2025-02-01,21.76,76.29,841.46
P06,2025-03-01,22.11,55.74,713.2
P06,2025-04-01,23.89,74.24,779.16
P06,2025-05-01,23.33,56.61,733.49
P06,2025-06-01,23.26,33.43,765.08
P06,2025-07-01,23.56,14.38,800.08
P06,2025-08-01,23.74,12.91,815.19
P06,2025-09-01,20.77,15.53,727.44
P06,2025-10-01,20.37,18.22,747.55
P06,2025-11-01,20.99,28.74,768.31
P06,2025-12-01,19.91,53.72,804.49
P07,2025-01-01,12.76,81.35,862.4
P07,2025-02-01,12.68,69.76,879.69
P07,2025-03-01,14.11,57.14,882.81
P07,2025-04-01,15.04,82.17,969.72
P07,2025-05-01,15.05,39.13,819.47
P07,2025-06-01,15.45,30.16,942.38
P07,2025-07-01,15.12,9.48,789.22
P07,2025-08-01,14.8,1.38,859.79
P07,2025-09-01,13.47,15.08,795.22
P07,2025-10-01,12.22,48.29,807.6
P07,2025-11-01,11.78,60.37,993.21
P07,2025-12-01,11.5,53.32,875.85
P08,2025-01-01,13.48,58.11,863.31
P08,2025-02-01,13.57,76.35,858.04
P08,2025-03-01,13.92,54.23,866.72
P08,2025-04-01,14.74,59.32,858.19
P08,2025-05-01,15.84,52.13,897.89
P08,2025-06-01,16.01,27.53,892.08
P08,2025-07-01,15.13,19.18,881.5
P08,2025-08-01,16.16,27.73,910.45
P08,2025-09-01,13.54,4.9,928.4
P08,2025-10-01,13.26,31.8,794.3
P08,2025-11-01,13.0,46.54,821.01
P08,2025-12-01,11.92,59.64,865.78
P02,2025-09-01,6.99,12.67,1006.26
